track_id,code,code_name,latitude,longitude,geometry_trusted,circumference_m,turn_radius_m,camber_pct,home_straight_m,first_turn_m,run_home_m,surface,sprint_lane,straight_track,geometry_note,camber_note,first_turn_note
parkes,H,harness,-33.123979,148.183188,True,734,73.4,,,,,,,,,,
penrith,H,harness,-33.756066,150.689456,True,1337,,,,,,,,,,,
pinjarra,TB,thoroughbred,-32.633512,115.886624,False,,,,,,,,,,,,
port-augusta,TB,thoroughbred,-32.497285,137.805286,True,2111,193.6,,,,,,,,,,
port-macquarie,TB,thoroughbred,-31.442809,152.879661,False,,,,,,,,,,,,
randwick,TB,thoroughbred,-33.91263,151.233285,False,,,,,,,,,,,,
redcliffe,H,harness,-27.232365,153.10753,False,835,72,,,,,,,,,,
richmond,GR,greyhound,-33.633924,150.743338,True,535,53.6,,,,,,,,,,
sapphire-coast,TB,thoroughbred,-36.761654,149.924948,False,,,,,,,,,,,,
scone,TB,thoroughbred,-32.0269,150.836376,True,1812,,,,,,,,,,,
seymour,TB,thoroughbred,-37.033508,145.168097,True,1776,131.8,,,,,,,,,,
sunshine-coast,TB,thoroughbred,-26.780876,153.068414,False,,,,,,,,,,,,
tamworth,H,harness,-31.086074,150.904336,False,,,,,,,,,,,,
taree,TB,thoroughbred,-31.891357,152.474416,False,,,,,,,,,,,,
toowoomba,TB,thoroughbred,-27.557753,151.924963,True,2490,,,,,,,,,,,
townsville,GR,greyhound,-19.271833,146.812389,False,,,,,,,,,,,,
wagga,TB,thoroughbred,-35.103254,147.353598,False,,,,,,,,,,,,
wangaratta,TB,thoroughbred,-36.357968,146.288672,False,,,,,,,,,,,,
warracknabeal,TB,thoroughbred,-36.24905,142.405478,True,2346,,,,,,,,,,,
warrnambool,TB,thoroughbred,-38.379026,142.508093,True,1612,171.5,,,,,,,,,,
warwick,TB,thoroughbred,-28.209823,152.018504,True,2534,,,,,,,,,,,
warwick-farm,TB,thoroughbred,-33.912706,150.940024,False,,,,,,,,,,,,
wodonga,TB,thoroughbred,-36.13332,146.895433,True,1824,,,,,,,,,,,
wyong,TB,thoroughbred,-33.281875,151.430624,False,,,,,,,,,,,,
